N,spacing_over_d,xi_over_d,h_over_d,min_eig_normal_difference,min_eig_tangent_difference
5,0.6,0.5,6.0,2.968460077243708e-11,1.4110777334500765e-11
5,0.6,1.0,1.3,1.2216510958741768e-05,6.113058681335933e-06
5,0.6,1.0,1.5,4.779502121447497e-06,2.6985413776890754e-06
5,0.6,1.0,2.0,6.126314500114042e-07,3.6930100088853786e-07
5,0.6,1.0,3.0,2.0807656027441826e-08,1.2054805263191813e-08
5,0.6,1.0,6.0,2.0395530831427387e-11,9.282788989494879e-12
5,1.0,0.0,1.3,0.010130720516578219,0.00654550946518379
5,1.0,0.0,1.5,0.0031330651826016343,0.0022800013069993632
5,1.0,0.0,2.0,0.00024313115982473632,0.0001826629336866045
5,1.0,0.0,3.0,4.112579229615315e-06,2.8097921140568653e-06
5,1.0,0.0,6.0,1.8254618094908883e-09,8.974846509684455e-10
5,1.0,0.5,1.3,0.0038054210294484396,0.0023938696359913575
5,1.0,0.5,1.5,0.001297205502844812,0.0009122108304785749
5,1.0,0.5,2.0,0.0001233365346533134,8.938706920001862e-05
5,1.0,0.5,3.0,2.729059092872349e-06,1.8074013780491815e-06
5,1.0,0.5,6.0,1.6031583412613658e-09,7.758895391078788e-10
5,1.0,1.0,1.3,0.00044612904479843506,0.00024110099164635689
5,1.0,1.0,1.5,0.00018279732554800566,0.00011204903699268272
5,1.0,1.0,2.0,2.57683063895478e-05,1.67542738326036e-05
5,1.0,1.0,3.0,9.902304280760525e-07,6.041483110610826e-07
5,1.0,1.0,6.0,1.118588119676447e-09,5.184166707036494e-10
10,0.25,0.0,1.3,6.01779880677583e-09,5.105971400923157e-09
10,0.25,0.0,1.5,3.627384319481042e-10,3.1146159573595e-10
10,0.25,0.0,2.0,1.036296550886414e-12,8.812647321246014e-13
10,0.25,0.0,3.0,1.8683726440175904e-16,1.7770283199179282e-16
10,0.25,0.0,6.0,-4.8440546788477435e-18,1.402098922211747e-19
10,0.25,0.5,1.3,3.192767469782605e-11,2.4547422917389424e-11
10,0.25,0.5,1.5,4.238780276238715e-12,3.4076027579858954e-12
10,0.25,0.5,2.0,4.8891831889646405e-14,3.9877487127429644e-14
10,0.25,0.5,3.0,2.7358910908215343e-17,2.974662065687667e-17
10,0.25,0.5,6.0,5.852720814361337e-20,-1.948634259940735e-18
10,0.25,1.0,1.3,2.4796538122560126e-14,1.6135087316224397e-14
10,0.25,1.0,1.5,6.38714986031666e-15,4.557415649468301e-15
10,0.25,1.0,2.0,2.9453542259500867e-16,2.1645702506697184e-16
10,0.25,1.0,3.0,1.0350957399307911e-17,4.157432118894318e-20
10,0.25,1.0,6.0,3.19357488063511e-18,-4.357838017867561e-18
10,0.6,0.0,1.3,0.0002664846353176781,0.00022329555839251353
10,0.6,0.0,1.5,3.957227737428779e-05,3.480069425992254e-05
10,0.6,0.0,2.0,5.135592493612674e-07,4.5332988253185844e-07
10,0.6,0.0,3.0,3.837926434496769e-10,3.254556936798123e-10
10,0.6,0.0,6.0,3.145852222150604e-16,2.2051522866221361e-16
10,0.6,0.5,1.3,1.8663719489679797e-05,1.5148989376485332e-05
10,0.6,0.5,1.5,3.405566992022401e-06,2.92006395257678e-06
10,0.6,0.5,2.0,7.119883746236475e-08,6.133602116859375e-08
10,0.6,0.5,3.0,1.0752883111014122e-10,8.912060868090068e-11
10,0.6,0.5,6.0,2.0363017078453776e-16,1.3977557774630726e-16
10,0.6,1.0,1.3,8.018067442895751e-08,5.6423362819282306e-08
10,0.6,1.0,1.5,2.158047491173516e-08,1.6628072660319137e-08
10,0.6,1.0,2.0,1.081989248316238e-09,8.646548833058802e-10
10,0.6,1.0,3.0,5.967985365617477e-12,4.6644700665565105e-12
10,0.6,1.0,6.0,6.175664947799806e-17,3.995967778202225e-17
10,1.0,0.0,1.3,0.007273551753548423,0.005338737676692123
10,1.0,0.0,1.5,0.0019294481160182979,0.0015936254281728331
10,1.0,0.0,2.0,8.939012474500772e-05,7.83228093950215e-05
10,1.0,0.0,3.0,3.577398350130556e-07,3.101577774774442e-07
