R_over_d,component,geometry,common,differential
2.428571428571429,x,open,0.02370906351404788,0.03597404015412095
2.428571428571429,x,h2,0.02145833351290375,0.03234853155615685
2.4857142857142858,normal,open,0.05669272472959047,0.0626734826067472
2.4857142857142858,normal,h2,0.07249001157563785,0.07099442457174295
2.4857142857142858,x,open,0.023962272674701798,0.03572083099346703
2.4857142857142858,x,h2,0.02175078569401995,0.032056079375040646
2.542857142857143,normal,open,0.056748403818181394,0.06261780351815627
2.542857142857143,normal,h2,0.07238090382773146,0.07110353231964933
2.542857142857143,x,open,0.024212174124816046,0.03547092954335279
2.542857142857143,x,h2,0.02203579259926626,0.03177107246979434
2.6,normal,open,0.056813467761553604,0.06255273957478406
2.6,normal,h2,0.07228729578901348,0.07119714035836731
2.6,x,open,0.024457479241609712,0.03522562442655912
2.6,x,h2,0.02231221986396447,0.03149464520509613
2.657142857142857,normal,open,0.05688587417935441,0.06248033315698325
2.657142857142857,normal,h2,0.07220706850810424,0.07127736763927656
2.657142857142857,x,open,0.02469715800934086,0.03498594565882797
2.657142857142857,x,h2,0.022579200380913184,0.031227664688147413
2.7142857142857144,normal,open,0.0569638705250053,0.062402336811332365
2.7142857142857144,normal,h2,0.07213837582929776,0.07134606031808303
2.7142857142857144,x,open,0.024930404264579945,0.03475269940358888
2.7142857142857144,x,h2,0.022836097616412518,0.03097076745264808
2.7714285714285714,normal,open,0.057045960272818094,0.06232024706351957
2.7714285714285714,normal,h2,0.0720796127917955,0.07140482335558529
2.7714285714285714,x,open,0.025156604398525184,0.03452649926964364
2.7714285714285714,x,h2,0.023082472522917098,0.0307243925461435
2.8285714285714287,normal,open,0.05713087213190737,0.06223533520443029
2.8285714285714287,normal,h2,0.07202938692720609,0.0714550492201747
2.8285714285714287,x,open,0.025375309379700083,0.03430779428846875
2.8285714285714287,x,h2,0.023318053915185776,0.030488811153874817
2.8857142857142857,normal,open,0.057217532204919326,0.062148675131418335
2.8857142857142857,normal,h2,0.07198649236808775,0.07149794377929304
2.8857142857142857,x,open,0.0255862099103906,0.03409689375777823
2.8857142857142857,x,h2,0.02354271212447637,0.030264152944584226
2.942857142857143,normal,open,0.057305038958476356,0.06206116837786131
2.942857142857143,normal,h2,0.0719498866315615,0.07153454951581929
2.942857142857143,x,open,0.025789114499268406,0.03389398916890043
2.942857142857143,x,h2,0.02375643571239075,0.030050429356669846
3.0,normal,open,0.057392640838776855,0.061973566497560806
3.0,normal,h2,0.07191866991063453,0.07156576623674626
3.0,x,open,0.025983930216374487,0.033699173451794344
3.0,x,h2,0.02395931100796794,0.029847554061092657
